step,loss,learning_rate,grad_norm
1,1.4657,0.0,1.109375
10,1.5325,3.964757709251102e-06,1.203125
20,1.5574,8.370044052863436e-06,1.1015625
30,1.4758,1.2775330396475772e-05,0.90625
40,1.4172,1.7180616740088105e-05,0.8046875
50,1.3043,2.1585903083700443e-05,0.64453125
60,1.2092,2.599118942731278e-05,0.62109375
70,1.1335,3.039647577092511e-05,0.765625
80,1.1059,3.480176211453745e-05,0.859375
90,1.0301,3.920704845814978e-05,0.71875
100,0.9567,4.3612334801762115e-05,0.7734375
110,0.9457,4.801762114537445e-05,0.94140625
120,0.9337,5.242290748898678e-05,0.859375
130,0.9116,5.682819383259912e-05,1.0703125
140,0.8596,6.123348017621146e-05,1.1640625
150,0.8721,6.56387665198238e-05,1.0859375
160,0.8343,7.004405286343613e-05,0.9765625
170,0.8188,7.444933920704847e-05,0.95703125
180,0.8105,7.88546255506608e-05,1.0234375
190,0.8128,8.325991189427313e-05,0.88671875
200,0.8107,8.766519823788547e-05,0.96875
210,0.7934,9.20704845814978e-05,1.0078125
220,0.7789,9.647577092511013e-05,0.90234375
230,0.8151,0.00010088105726872248,0.828125
240,0.7959,0.0001052863436123348,1.046875
250,0.7784,0.00010969162995594715,0.76953125
260,0.7773,0.00011409691629955948,0.80078125
270,0.7609,0.00011850220264317183,0.828125
280,0.7545,0.00012290748898678415,0.89453125
290,0.7789,0.00012731277533039646,0.83203125
300,0.7182,0.00013171806167400882,0.80078125
310,0.7181,0.00013612334801762113,0.87890625
320,0.7507,0.0001405286343612335,0.78515625
330,0.7719,0.0001449339207048458,0.7890625
340,0.7464,0.00014933920704845817,0.65625
350,0.7666,0.00015374449339207048,0.7578125
360,0.7532,0.00015814977973568285,0.8515625
370,0.752,0.00016255506607929516,0.7265625
380,0.7445,0.0001669603524229075,0.76171875
390,0.7213,0.00017136563876651983,0.85546875
400,0.7335,0.00017577092511013217,0.765625
410,0.7359,0.0001801762114537445,0.6953125
420,0.7296,0.00018458149779735682,0.796875
430,0.7224,0.00018898678414096918,0.6640625
440,0.763,0.0001933920704845815,0.72265625
450,0.736,0.00019779735682819385,0.76953125
460,0.7174,0.0001999992596054356,0.6796875
470,0.736,0.00019999333651470237,0.66796875
480,0.7191,0.0001999814906840686,0.66796875
490,0.7513,0.00019996372281517867,0.7109375
500,0.7412,0.0001999400339604475,0.765625
510,0.7256,0.00019991042552299773,0.7265625
520,0.7078,0.000199874899256577,0.578125
530,0.7144,0.0001998334572654539,0.6796875
540,0.6852,0.0001997861020042933,0.59765625
